Subject;Property;Object
Model of Mainz cathedral;df:type;Model
Model of Mainz cathedral;dcterms:creator;Joseph Merrick
Model of Mainz cathedral;schema:dateCreated;1886
Model of Mainz cathedral;schema:material;pre-printed card
Model of Mainz cathedral;fabio:has date received;1917
Model of Mainz cathedral;dc:terms;German model of ?Mainz cathedral
Model of Mainz cathedral;schema:locationCreated;The Royal London Hospital
Model of Mainz cathedral;dcterms:rightsHolder;Royal London Hospital Museum
Model of Mainz cathedral;frapo:is donated by;Madge Kendal
Madge Kendal;rdf:type;foaf:Person
Madge Kendal;owl:sameAs;http://viaf.org/viaf/58041265
Royal London Hospital Museum;rdf:type;schema:Hospital
Royal London Hospital Museum;owl:sameAs;https://www.wikidata.org/wiki/Q7374421